subject,startedBy,views,replies,lastPostBy,lastPostDate
[Light Novel] [English] Hataraku Maou-sama! (The Devil is a Part-Timer!),Go-Sick,"201,139",158,Lnlover,"May 06, 2020, 11:32:18 pm"
[LN] [Eng] The Hero Is Overpowered but Overly Cautious,Dark Warrior,"11,295",17,princesama1,"April 28, 2020, 09:35:24 pm"
[WN][PDF][ENG]Legend,bryzc1031,"2,786",4,CroLinux Gamer,"April 28, 2020, 08:13:46 pm"
[WN][PDF][Eng] Kenkyo Kenjitsu,traitorAIZEN,"5,783",8,Rugoru,"April 28, 2020, 11:14:49 am"
[WN][Eng] Kaifuku Jutsushi no Yarinaoshi,Azura Ren,"28,632",28,denis01,"May 06, 2020, 10:49:37 am"
[LN][ENG] One Piece: Ace's Story,shadow69,255,0,shadow69,"May 06, 2020, 08:57:24 am"
[LN][Eng] Lazy Dungeon Master,Azura Ren,"21,645",40,shankstick,"May 06, 2020, 12:46:35 am"
[LN][Eng] The Legendary Moonlight Sculptor,lnwnepubs,"38,144",59,traitorAIZEN,"April 27, 2020, 12:41:01 pm"
[Light Novel] [English] Destruction Flag Otome,Go-Sick,"23,558",30,traitorAIZEN,"April 27, 2020, 12:29:36 pm"
[LN] Teogonia,Jayanth555,"2,220",5,candragn21,"May 05, 2020, 03:55:46 pm"
[WN][ENG][PDF]Mushoku no Eiyuu ~Betsu ni Skill Nanka Iranakattan daga~,bryzc1031,"2,561",2,cboy123,"May 05, 2020, 03:53:01 pm"
[Light Novel] [English] Hai to Gensou no Grimgar,Go-Sick,"212,918",304,traitorAIZEN,"May 05, 2020, 01:45:09 pm"
[LN][Eng] Accel World,Alumine,"72,176",63,cboy123,"April 27, 2020, 12:07:07 pm"
[LN]The Hitchhiker’s Guide to the Isekai,Jayanth555,"1,049",3,pomphent,"April 26, 2020, 09:41:58 pm"
[Light Novel] [English] ~IS~ Infinite Stratos,Go-Sick,"30,130",58,Jayanth555,"May 05, 2020, 01:38:06 am"
 [Light Novel] [Englisch] Rokka no Yuusha,Oediv,"55,936",49,princesama1,"May 04, 2020, 06:40:25 pm"
[Light Novel] [English] Genjitsushugisha no Oukokukaizouki,Go-Sick,"184,382",230,tachibanaren,"May 04, 2020, 01:28:02 pm"
[WN][PDF][Eng] Common Sense of a Warrior,traitorAIZEN,"5,149",10,traitorAIZEN,"April 26, 2020, 05:54:25 pm"
[KN][PDF][Eng] Reincarnator,traitorAIZEN,"9,569",21,traitorAIZEN,"April 26, 2020, 05:54:14 pm"
[CN][PDF][Eng] Worlds' Apocalypse Online,traitorAIZEN,"2,348",6,traitorAIZEN,"April 26, 2020, 05:54:02 pm"
[CN][PDF][Eng] Gamers of the Underworld,traitorAIZEN,"2,182",5,EL,"May 04, 2020, 09:21:17 am"
[Light Novel] [English] Gifting This Wonderful World With Blessings! (KonoSuba!),Go-Sick,"211,421",190,traitorAIZEN,"May 04, 2020, 08:21:22 am"
[LN]Boku no Kanojo Sensei,Jayanth555,"6,071",10,Jayanth555,"April 26, 2020, 12:35:04 pm"
[WN][PDF][ENG]I Became the Strongest With The Failure Frame【Abnormal State Skill,bryzc1031,"3,525",4,RinneZanki,"April 26, 2020, 10:13:07 am"
[LN] Isekai Rebuilding Project,Jayanth555,"2,421",6,traitorAIZEN,"April 25, 2020, 08:10:38 pm"
[Light Novel][English]Violet Evergarden ,basby,"35,858",18,Azura Ren,"May 04, 2020, 02:35:33 am"
[Light Novel] [English] Fremd Torturchen (Isekai Goumonhime) ,Go-Sick,"11,246",19,traitorAIZEN,"May 03, 2020, 01:33:25 pm"
[LN][PDF][Eng] Reincarnated into a Werewolf (Märchen der Werwolf),traitorAIZEN,"22,558",31,traitorAIZEN,"April 25, 2020, 02:10:48 pm"
[Light Novel] [English] Ero Manga Sensei,Go-Sick,"24,920",18,alysho10,"April 24, 2020, 08:53:31 pm"
[LN] [Eng] Why Shouldn’t a Detestable Demon Lord Fall in Love?!,Dark Warrior,"3,686",3,traitorAIZEN,"May 03, 2020, 01:33:13 pm"
[LN][Eng] Sword Art Online,Alumine,"659,923",138,lvnrynng18,"April 24, 2020, 06:36:27 pm"
[LN/WN][PDF][Eng] Mushoku Tensei,traitorAIZEN,"85,320",63,Amer Fathullah,"April 24, 2020, 04:51:20 pm"
[WN][PDF][Eng] The Death Mage Who Doesn't Want a Fourth Time,traitorAIZEN,"48,068",76,Shina Chan,"April 24, 2020, 11:34:24 am"
[KN][PDF][Eng] Revolution of the 8th Class Mage,traitorAIZEN,"6,567",8,traitorAIZEN,"April 19, 2020, 07:08:54 pm"
[LN][ePub][Eng] In Another World With My Smartphone,catjob,"53,610",97,eraldcoil,"April 19, 2020, 06:48:44 pm"
[Light Novel] [English] Densetsu no Yūsha no Densetsu,Go-Sick,"25,289",21,whoisit,"April 19, 2020, 10:46:22 am"
[WN][PDF][Eng] The Strongest Dull Prince's Secret Battle for the Throne,traitorAIZEN,"3,698",7,white11661,"April 18, 2020, 08:43:14 pm"
[LN][Eng] Seirei Gensouki: Spirit Chronicles,Azura Ren,"52,610",86,Aditi1517,"April 18, 2020, 06:30:36 pm"
[WN][PDF][Eng] Doomsday Wonderland,traitorAIZEN,"1,137",2,Aditi1517,"April 18, 2020, 06:28:25 pm"
"[LN][Eng] Kumo Desu ga, Nani ka?",shadow69,"33,047",42,Aditi1517,"April 11, 2020, 02:12:20 pm"
"[LN][PDF][Eng] Hello, Hello and Hello",traitorAIZEN,"4,178",9,Aditi1517,"April 11, 2020, 01:52:51 pm"
[WN][PDF][Eng] The Wandering Inn,traitorAIZEN,"2,678",5,kira80,"April 11, 2020, 11:53:53 am"
[LN][Eng] Shinwa Densetsu no Eiyuu no Isekaitan,deadline14,"25,927",32,Aditi1517,"April 18, 2020, 06:20:41 pm"
[LN] Ochita Kuroi Yuusha no Densetsu,Jayanth555,"3,367",7,seira00100,"April 18, 2020, 05:45:48 pm"
[LN][Eng] Kingdom Hearts,shadow69,"4,093",11,Jayanth555,"April 10, 2020, 10:11:04 pm"
[WN][PDF][Eng] Everybody Loves Large Chests,traitorAIZEN,"8,241",21,traitorAIZEN,"April 10, 2020, 02:45:31 pm"
[WN][PDF][Eng] Mother of Learning,traitorAIZEN,"2,302",3,traitorAIZEN,"April 10, 2020, 02:45:19 pm"
[Light Novel] [English] Hagure Yuusha no Aesthetica,Go-Sick,"12,917",7,seira00100,"April 18, 2020, 05:44:37 pm"
[LN] The Greatest Demon Lord Is Reborn as a Typical Nobody,Jayanth555,"3,954",5,seira00100,"April 18, 2020, 05:35:50 pm"
[Light Novel] [English] Seiken Tsukai No World Break,Go-Sick,"15,243",17,seira00100,"April 18, 2020, 05:32:31 pm"
[WN][PDF] Fake Holy Sword Story ～I Was Taken Along When I Sold My Childhood Frie,traitorAIZEN,"1,557",1,Bell Cranel,"April 10, 2020, 05:15:12 am"
[Light Novel] [English] Kyoukai Senjou no Horizon,Lights,"20,797",21,seira00100,"April 18, 2020, 05:30:00 pm"
[LN] Shin High School DxD,Jayanth555,"4,392",10,seira00100,"April 18, 2020, 05:26:18 pm"
[WN][PDF][Eng] Chiyu Mahou no Machigatta Tsukaikata,traitorAIZEN,"10,470",14,Nirvasche,"April 10, 2020, 12:49:13 am"
[LN][Eng] Invaders of the Rokujouma!? ,Go-Sick,"114,554",215,Draxis,"April 09, 2020, 11:24:53 am"
[WN][PDF][Eng] Tale of Dark Knight~Summoned to Defeat The Hero~,traitorAIZEN,"12,816",18,Loyd(TheHighWayman),"April 18, 2020, 03:09:14 am"
[LN][Eng] The Irregular at Magic High School,Alumine,"480,200",251,shankstick,"April 17, 2020, 11:42:40 pm"
[LN] Otherside Picnic,Jayanth555,"2,302",5,traitorAIZEN,"April 17, 2020, 12:27:46 pm"
[Light Novel] [English] Risou no Himo Seikatsu,Go-Sick,"27,582",46,Mxfhlv,"April 08, 2020, 04:34:47 pm"
[LN][Eng] That time i got reincarnated as a slime,deadline14,"74,247",59,Chestor Kirupairajah,"April 08, 2020, 02:10:29 am"
[WN][PDF][Eng] Chrysalis,traitorAIZEN,"2,044",5,traitorAIZEN,"April 17, 2020, 12:27:24 pm"
[CN][PDF][Eng] Reverend Insanity (Master of Gu),traitorAIZEN,"4,429",8,traitorAIZEN,"April 17, 2020, 12:26:48 pm"
[LN][Eng] Infinite Dendrogram,deadline14,"71,477",95,traitorAIZEN,"April 07, 2020, 11:18:16 pm"
[KN][PDF][Eng] Main Character Hides His Strength,traitorAIZEN,"6,853",11,traitorAIZEN,"April 07, 2020, 01:22:34 am"
