subject,startedBy,views,replies,lastPostBy,lastPostDate
[CN] City Of Sin,Shahid Atish,"1,298",2,AriaPt,"November 28, 2019, 02:54:54 pm"
[KN][PDF][Eng] Taming Master,traitorAIZEN,"4,462",14,traitorAIZEN,"November 19, 2019, 01:50:55 am"
[MANGA][CBZ] ONE PIECE,Kawakigold,"1,188",3,Kawakigold,"November 18, 2019, 06:23:11 pm"
[MANGA][CBZ] Black Clover,Kawakigold,570,1,Kawakigold,"November 18, 2019, 06:20:09 pm"
[Light Novel] [English] GJ-Bu,Go-Sick,"4,195",3,Hughinja,"November 28, 2019, 02:16:58 am"
[KR][PDF][Eng] Running Away From The Hero! (Remake),traitorAIZEN,"6,436",15,gisber,"November 26, 2019, 11:48:24 pm"
"[CN][ENG][PDF] Oh no! After I Reincarnated, My Moms Became Son-cons!",KilLaRuNa,"10,525",18,mike00,"November 26, 2019, 04:57:52 pm"
[MANGA][CBZ] Radiant,Kawakigold,285,0,Kawakigold,"November 18, 2019, 06:14:20 pm"
[LN] SCP Foundation: Iris Through the Looking Glass,Jayanth555,"1,528",4,Benjiro,"November 26, 2019, 05:07:07 am"
[MANGA][CBZ] To Your Eternity,Kawakigold,288,0,Kawakigold,"November 18, 2019, 06:08:31 pm"
[LN][PDF] The Daybreak: The Crossdressing Female Magician and the Golden Knight,traitorAIZEN,"3,893",4,Lnlover,"November 17, 2019, 04:04:50 pm"
[LN] Magic User: Reborn in Another World as a Max Level Wizard,Jayanth555,"2,965",3,Reiva12,"November 15, 2019, 03:59:41 pm"
[LN][PDF][Eng] Her Royal Highness Seems to be Angry,traitorAIZEN,"5,625",8,traitorAIZEN,"November 15, 2019, 07:04:25 am"
[LN][ENG] Monogatari Series,shadow69,"1,321",1,Darkhhawk,"November 14, 2019, 01:57:14 pm"
[Web Novel][English] Dragoon - Ryuu Kishi e no Michi,Azura Ren,"10,031",15,OmegaLKSG,"November 04, 2019, 07:16:31 pm"
"[WN][PDF] 10 Years after saying “Leave this to me and go”, I Became a Legend.",traitorAIZEN,"7,939",13,traitorAIZEN,"November 03, 2019, 06:30:57 pm"
[Light Novel] [English]Shishunki na Adam,Go-Sick,"7,701",6,seira00100,"November 13, 2019, 02:37:58 am"
[WN][ENG][PDF]Kanzen Kaihi Healer no Kiseki,bryzc1031,"1,524",3,bryzc1031,"November 03, 2019, 04:51:33 pm"
[WN][PDF][Eng] I'm the Evil Lord of an Intergalactic Empire!,traitorAIZEN,"5,150",8,Chetan417,"October 31, 2019, 09:38:03 pm"
[LN][PDF][Eng] Woof Woof Story ~I Said I Wanted To Be A Rich Person’s Dog,traitorAIZEN,"5,955",14,seira00100,"November 13, 2019, 02:19:41 am"
[KR][PDF][Eng] Solo Leveling,traitorAIZEN,"30,838",25,Alessandro Karwel,"October 31, 2019, 01:59:58 am"
[WN][ENG][PDF]Isekai tensei no boukensha,bryzc1031,"2,026",3,Symbiancross,"October 30, 2019, 02:51:21 pm"
[KN][PDF][Eng] Dragon Maken War,traitorAIZEN,"6,689",9,shuiko,"October 30, 2019, 02:32:50 pm"
[MANGA][CBZ] Taboo Tattoo,Kawakigold,451,1,denis01,"November 12, 2019, 11:32:33 am"
[WN][PDF] VRMMO no Shien Shokunin ～Top Player no Shikakenin～,traitorAIZEN,"3,915",6,Kuroe,"November 12, 2019, 06:02:25 am"
[WN][PDF][ENG]Different World Reincarnation as a Sage,bryzc1031,"1,730",1,Symbiancross,"October 30, 2019, 01:01:56 am"
[Wn][ENG][PDF]My Entire Class Was Summoned to Another World except for Me,bryzc1031,"4,232",4,bryzc1031,"October 29, 2019, 06:27:06 pm"
[WN][PDF][Eng] Kuro no Maou,traitorAIZEN,"21,864",39,tomz,"October 29, 2019, 12:54:02 am"
[MANGA][CBZ] How to Raise a Boring Girlfriend,Kawakigold,678,0,Kawakigold,"November 09, 2019, 03:08:09 pm"
[MANGA][CBZ] Akashic Records of Bastard Magic Instructor,Kawakigold,377,0,Kawakigold,"November 09, 2019, 02:14:20 pm"
[MANGA][CBZ] Domestic Girlfriend,Kawakigold,412,0,Kawakigold,"November 09, 2019, 01:55:44 pm"
[CN][PDF][Eng] These Dangerous Girls Placed Me Into Jeopardy,traitorAIZEN,"1,466",1,Isean2000,"October 28, 2019, 01:07:01 am"
[KN][PDF][Eng] The Book Eating Magician,traitorAIZEN,"10,604",17,traitorAIZEN,"October 27, 2019, 01:14:22 pm"
[MANGA][CBZ] Is It Wrong to Try to Pick Up Girls in a Dungeon - Sword Oratoria,Kawakigold,396,0,Kawakigold,"November 07, 2019, 07:30:26 pm"
[MANGA][CBZ] Is It Wrong to Try to Pick Up Girls in a Dungeon,Kawakigold,371,0,Kawakigold,"November 07, 2019, 07:12:23 pm"
[Light Novel] [English]Ore ga Heroine o Tasukesugite Sekai ga Little Mokushiroku,Go-Sick,"46,820",68,traitorAIZEN,"November 06, 2019, 03:06:42 pm"
[MANGA][CBZ] Attack on Titan: Junior High,Kawakigold,317,0,Kawakigold,"October 26, 2019, 11:33:27 pm"
[MANGA][CBZ] Attack on Titan: Lost Girls,Kawakigold,341,0,Kawakigold,"October 26, 2019, 11:29:30 pm"
[LN] Suppose a Kid from the Last Dungeon Boonies Moved to a Starter Town,Jayanth555,"1,673",1,traitorAIZEN,"November 06, 2019, 02:57:50 pm"
[LN][Eng] The Empty Box and Zeroth Maria ,Alumine,"64,257",27,Jayanth555,"November 06, 2019, 07:40:42 am"
[MANGA][CBZ] How a Realist Hero Rebuilt the Kingdom,Kawakigold,987,1,Kawakigold,"November 05, 2019, 06:45:11 pm"
[WN][ENG][PDF] Rise of the Undead Legion,Shahid Atish,"3,626",10,Shahid Atish,"October 23, 2019, 06:56:20 am"
[MANGA][CBZ] Attack on Titan: No Regrets,Kawakigold,240,0,Kawakigold,"October 26, 2019, 11:26:23 pm"
"[WN][PDF] Isekai Kaeri no Ossan wa, Fusei Sukiru de Fathercon Musume-tachi o Tor",traitorAIZEN,"3,920",3,mangatabar,"October 26, 2019, 04:38:12 pm"
[LN][ENG] The Miracles of the Namiya General Store,shadow69,"1,047",1,Jayanth555,"October 26, 2019, 04:51:06 am"
[LN][PDF] Nishino – The Boy At The Bottom Of The School Caste And Also At The To,traitorAIZEN,"2,973",5,Jayanth555,"November 05, 2019, 09:39:07 am"
"[Wn][PDF]The Best Assassin, Incarnated into a Different World’s Aristocrat",bryzc1031,"5,493",5,bryzc1031,"November 04, 2019, 11:56:43 pm"
[LN][PDF][Eng] Who is the Strongest Appraiser?,traitorAIZEN,"2,042",1,zaphkiel_el_rem,"October 22, 2019, 12:42:38 am"
"[LN] Middle-Aged Businessman, Arise in Another World!",Jayanth555,"5,424",12,Reiva12,"October 20, 2019, 02:12:03 pm"
[KN][PDF][Eng] Second Life Ranker,traitorAIZEN,"4,107",5,shankstick,"October 25, 2019, 01:28:03 pm"
[WN][PDF][Eng] The Old Man Who Got a Second Round in Another World,traitorAIZEN,"2,830",2,traitorAIZEN,"October 24, 2019, 10:58:59 pm"
[Light Novel] [English] Durarara!!,Go-Sick,"22,542",30,traitorAIZEN,"October 24, 2019, 06:53:02 pm"
[Light Novel] [English] Knight's and Magic,Go-Sick,"20,794",26,obsidian_dragonwing,"October 20, 2019, 09:35:41 am"
[WN][ENG][PDF]Ex Strongest Swordsman Longs For Magic In Different World,bryzc1031,"4,411",9,bryzc1031,"October 19, 2019, 11:55:28 pm"
[Wn][PDF]My Status as an Assassin Obviously Exceeds the Hero,bryzc1031,"7,231",20,bryzc1031,"October 19, 2019, 11:17:20 pm"
[WN][ENG][PDF]Negawakuba no Kono te ni Koufuku wo,bryzc1031,"1,194",0,bryzc1031,"October 19, 2019, 05:44:19 pm"
[WN][ENG][PDF] Daten no Inugami -SLASHDØG-,Go-Sick,"2,242",2,ReiDii,"October 18, 2019, 03:39:32 pm"
[MANGA][CBZ] My Hero Academia: Vigilantes,Kawakigold,330,0,Kawakigold,"October 18, 2019, 05:18:45 am"
[MANGA][CBZ] My Hero Academia,Kawakigold,359,0,Kawakigold,"October 18, 2019, 05:13:17 am"
[LN][ENG] True Tenchi Muyo!,shadow69,"1,554",3,Jayanth555,"September 28, 2019, 01:59:22 am"
[WN][PDF][Eng] Lord of the Hundred Demons,traitorAIZEN,"4,465",4,traitorAIZEN,"October 07, 2019, 12:12:44 am"
[WN][PDF][Eng] Harem Tales of a Reincarnated Elf Prince,traitorAIZEN,"3,956",6,Gilang Adhitama Putra,"October 06, 2019, 05:34:54 pm"
[MANGA][CBZ] The Devil Is a Part-Timer,Kawakigold,533,2,Kawakigold,"October 05, 2019, 02:55:08 pm"
[CN][PDF][ENG] Monarch of Evernight,Shahid Atish,"3,356",10,Shahid Atish,"October 14, 2019, 05:28:37 pm"
[Light Novel] [English] Ichiban Ushiro no Daimaou,Go-Sick,"13,537",30,Jayanth555,"October 13, 2019, 08:43:30 am"
[Light Novel][English] Seikai no Monshou  (Crest of the Stars),Go-Sick,"6,945",5,Jayanth555,"October 13, 2019, 07:54:02 am"
[MANGA][CBZ] Arifureta: From Commonplace to World’s Strongest Zero,Kawakigold,664,0,Kawakigold,"September 26, 2019, 06:37:49 pm"
[MANGA][CBZ] Goblin Slayer,Kawakigold,498,0,Kawakigold,"September 26, 2019, 06:28:22 pm"
[LN][PDF][Eng] Hon Issatsu de Kototariru Isekai Rurō Monogatari,traitorAIZEN,"5,586",4,AriaPt,"October 05, 2019, 11:34:55 am"
[WN][PDF][Eng] The Legendary Rebuilding of a World by a Realist Demon King,traitorAIZEN,"7,249",10,XSekundesX,"October 05, 2019, 03:23:44 am"
[WN][PDF][Eng] The 5000-year-old Herbivorous Dragon,traitorAIZEN,"2,461",2,traitorAIZEN,"October 05, 2019, 01:17:28 am"
[LN][Eng]Kabukimonogatari,Kawakigold,935,2,Rugoru,"October 13, 2019, 05:38:41 am"
[LN][Eng]Nekomonokatari White,Kawakigold,838,1,kaccau,"October 12, 2019, 08:44:22 pm"
[WN][PDF][Eng] Akuyaku Reijou wa Danna-sama wo Yasesasetai,traitorAIZEN,"8,701",10,traitorAIZEN,"September 16, 2019, 04:41:36 pm"
[MANGA][CBZ] Is It Wrong to Try to Pick Up Girls in a Dungeon? Familia Chronicle,Kawakigold,454,0,Kawakigold,"September 26, 2019, 06:10:16 pm"
[MANGA][CBZ] Do You Love Your Mom and Her Two-Hit Multi-Target Attacks?,Kawakigold,384,0,Kawakigold,"September 26, 2019, 05:46:21 pm"
[MANGA][CBZ] Infinite Dendrogram,Kawakigold,476,0,Kawakigold,"September 26, 2019, 04:31:52 pm"
[LN] Root Double -Before Crime * After Days- √After,Jayanth555,762,0,Jayanth555,"October 04, 2019, 10:39:25 pm"
[CN][WN][PDF] A Wizard's Secret,Shahid Atish,"1,827",4,Shahid Atish,"October 03, 2019, 10:33:02 am"
[Light Novel][English] Vampire Hunter D,Alumine,"47,587",37,Go-Sick,"October 11, 2019, 09:17:29 pm"
[LN][Eng] Journey of a Betrayed Hero,Kawakigold,"3,116",2,AriaPt,"October 11, 2019, 11:55:44 am"
[KN][PDF][Eng] Max Level Newbie,traitorAIZEN,"4,206",3,AriaPt,"October 08, 2019, 02:49:09 pm"
[Light Novel] [English] Black Bullet,Go-Sick,"43,350",36,shadow69,"September 16, 2019, 07:38:12 am"
[Wn][PDF]Endo and Kobayashi’s Live Commentary on the Villainess,bryzc1031,"2,091",2,traitorAIZEN,"September 11, 2019, 12:13:50 pm"
[KN][EPUB][PDF][Eng] Legend Of Legends,Shahid Atish,636,0,Shahid Atish,"September 26, 2019, 12:12:08 am"
[CN][ENG][PDF] Shura's Wrath,KilLaRuNa,"4,822",8,Black Forest,"September 25, 2019, 10:10:46 pm"
[KN] God Of Money,Shahid Atish,549,0,Shahid Atish,"October 02, 2019, 06:15:27 am"
[LN] Sorcery Hacker >> Divulge the Magic Vulnerability,Jayanth555,"1,154",0,Jayanth555,"October 01, 2019, 07:07:56 am"
[MANGA][CBZ] Fate/Grand Order -mortalis:stella ,Kawakigold,589,0,Kawakigold,"October 08, 2019, 12:21:39 am"
[LN][PDF][JP] Recollection of a certain Pilot ,Chetan417,"1,440",5,Chetan417,"October 07, 2019, 02:33:20 pm"
"[LN][PDF][Eng] The Hero Suddenly Proposed to Me, but…",traitorAIZEN,"5,317",3,traitorAIZEN,"September 11, 2019, 12:13:09 pm"
[KN][PDF][Eng] Top Management,traitorAIZEN,"4,737",9,goensa51,"September 11, 2019, 09:53:09 am"
[KR][WN][PDF] God Hunter  ( Colossus Hunter),Shahid Atish,888,2,Shahid Atish,"September 24, 2019, 05:55:07 pm"
[LN][PDF][EPUB][Eng] A Lesbian Elf and a Cursed Princess,Chetan417,"1,383",0,Chetan417,"September 23, 2019, 06:58:08 pm"
[WN][PDF][Eng] Parallel World Pharmacy,traitorAIZEN,"18,798",24,shankstick,"September 30, 2019, 02:49:09 am"
[MANGA][CBZ] Attack on Titan,Kawakigold,442,0,Kawakigold,"September 29, 2019, 10:14:09 pm"
[MANGA][CBZ] That Time I got Reincarnated as a Slime,Kawakigold,501,0,Kawakigold,"September 29, 2019, 10:09:01 pm"
[CN][WN] Fishing the myriad heavens ,Shahid Atish,915,4,Shahid Atish,"September 10, 2019, 12:15:27 am"
[WN] [ENG] I’m a NEET but When I Went to Hello Work I Got Taken to Another World,Go-Sick,"18,878",27,Chetan417,"September 09, 2019, 05:19:02 pm"
[LN] There Is No Way a Support Type Character Will Have a Girlfriend,Jayanth555,"1,660",0,Jayanth555,"September 09, 2019, 06:43:22 am"
[KR][PDF][Eng] Song of God,traitorAIZEN,"1,646",2,Neiam,"September 23, 2019, 06:25:29 pm"
[WN][PDF] Supreme Magus,Shahid Atish,"1,406",2,Shahid Atish,"September 22, 2019, 11:12:03 am"
[WN][Eng] Tensei Shitara Slime Datta Ken,Azura Ren,"29,508",20,BlurEyes,"September 21, 2019, 05:48:43 pm"
[MANGA][CBZ] The Honor Student at Magic High School,Kawakigold,645,0,Kawakigold,"September 29, 2019, 10:04:05 pm"
"[MANGA][CBZ] So I'm a Spider, So What?",Kawakigold,432,0,Kawakigold,"September 29, 2019, 09:58:52 pm"
[MANGA][CBZ] The Quintessential Quintuplets,Kawakigold,446,0,Kawakigold,"September 29, 2019, 09:46:17 pm"
[MANGA/MANHWA][PDF] Solo Leveling,Shahid Atish,"1,424",4,Shahid Atish,"September 08, 2019, 06:32:13 pm"
"[WN][PDF][Eng] Kumo Desu ga, Nani ka?",traitorAIZEN,"37,309",35,traitorAIZEN,"September 08, 2019, 05:50:42 pm"
[LN] 「Omae Gotoki ga Maou ni Kateru to Omou na」 to Yuusha Party wo Tsuihou Saret,Jayanth555,"6,197",6,traitorAIZEN,"September 08, 2019, 05:50:31 pm"
[LN/WN][PDF][Eng] The Other World Dining Hall,traitorAIZEN,"11,495",18,traitorAIZEN,"September 21, 2019, 01:51:32 pm"
[WN][PDF][Eng] The Iron Teeth,traitorAIZEN,"2,285",3,traitorAIZEN,"September 21, 2019, 01:51:20 pm"
[WN][PDF][Eng] Tensei Kyuuketsukisan wa Ohirune ga Shitai,traitorAIZEN,"9,013",7,traitorAIZEN,"September 21, 2019, 01:51:11 pm"
[MANGA][CBZ] Tales of Wedding Rings,Kawakigold,385,0,Kawakigold,"September 29, 2019, 09:40:16 pm"
"[WN][PDF][Eng] Even Though I’m a Former Noble and a Single Mother, My Daughters ",traitorAIZEN,"10,656",25,traitorAIZEN,"September 29, 2019, 03:36:48 pm"
[Web Novel[]English] Demon Noble Girl ~Story of a Careless Demon~,Go-Sick,"13,156",22,traitorAIZEN,"September 29, 2019, 03:36:23 pm"
[LN][ENG] Penguin Highway,shadow69,871,1,Jayanth555,"September 08, 2019, 01:24:55 am"
"[WN][PDF][Eng] The Healer Banished From The Party, In Fact, Is The Strongest",traitorAIZEN,"3,795",3,Fitzwarren23,"September 07, 2019, 07:38:56 am"
[Anime][Movie] Fate/Stay Night Heaven's Feel II - Lost Butterfly [480p][720p],Go-Sick,592,0,Go-Sick,"September 06, 2019, 09:17:02 pm"
[KN][PDF][Eng] The World after the Fall,traitorAIZEN,"3,512",5,traitorAIZEN,"September 21, 2019, 01:50:50 pm"
[LitRpg][PDF][EPUB] Hollow Core,Shahid Atish,798,0,Shahid Atish,"September 20, 2019, 06:07:35 pm"
[CN][PDF][ENG] The Great Ruler ,Shahid Atish,"1,047",2,Shahid Atish,"September 19, 2019, 08:56:17 pm"
[KN][PDF] Apocalypse Hunter,Shahid Atish,617,1,Shahid Atish,"September 29, 2019, 12:15:10 pm"
[LN][PDF][Eng] The Power of the Saint is All Around,traitorAIZEN,"9,118",12,traitorAIZEN,"September 06, 2019, 04:48:08 pm"
[CN][PDF][ENG] My Master Disconnected Yet Again,Shahid Atish,"1,109",1,white11661,"September 05, 2019, 03:24:15 pm"
[Light Novel] [English] Masou Gakuen HxH,Go-Sick,"34,330",26,1dragon1,"September 17, 2019, 09:32:14 pm"
[WN][Eng] Shikkaku Mon no Saikyou Kenja,Azura Ren,"26,381",32,cboy123,"September 03, 2019, 03:51:26 am"
[LN][Eng] Ao Oni,shadow69,"2,820",5,Jayanth555,"September 03, 2019, 12:19:37 am"
[Novel] [English] Battle Royale,Go-Sick,"2,936",3,Shahid Atish,"September 02, 2019, 12:36:46 pm"
[WN][PDF][Eng] The Goblin Kingdom,traitorAIZEN,"10,217",14,traitorAIZEN,"August 31, 2019, 01:33:57 pm"
"[LN][ENG] The Night Is Short, Walk on Girl",shadow69,"1,088",0,shadow69,"August 30, 2019, 06:46:33 pm"
[LN][PDF][ENG] Akaoni: Contract with a Vampire,Dark Warrior,"1,786",1,obsidian_dragonwing,"August 30, 2019, 05:54:27 pm"
[CN][PDF][ENG] My Disciple Died Yet Again,Shahid Atish,794,0,Shahid Atish,"August 30, 2019, 11:15:02 am"
[Light Novel] [English] Slayers ( スレイヤーズ ),Go-Sick,"6,540",6,denis01,"August 30, 2019, 06:04:17 am"
[WN][PDF][EPUB][Eng] Will the Re-Summoned Hero Live as an Ordinary Person,Chetan417,"2,101",3,Chetan417,"August 07, 2019, 11:03:17 pm"
[Web Novel] [English] My Pet Is a Holy Maiden,lnwnepubs,"5,722",4,KuroNamake,"August 28, 2019, 09:50:02 pm"
[WN][ENG][PDF][EPUB]Re: Zero − Starting Life in Another World,khawaja07,"2,238",6,aidz_t13,"August 27, 2019, 08:53:01 pm"
[LN][Eng] The Slutty Adventures of Magical Princess Makina,Rekka,"2,947",9,Rekka,"August 27, 2019, 02:14:38 pm"
[CN][ENG][WN] Release That Witch,saca312,"17,112",22,traitorAIZEN,"August 06, 2019, 10:02:58 pm"
[WN][PDF][Eng] Invincible Saint ~Salaryman,traitorAIZEN,"23,186",38,haseo60,"August 06, 2019, 06:46:47 am"
[Light Novel] [English] Rune Soldier Louie,Go-Sick,"4,257",1,riengo,"August 26, 2019, 05:11:16 am"
[WN][Eng] Isekai Taneuma,Rekka,"1,283",0,Rekka,"August 25, 2019, 01:13:11 am"
[Light Novel] [English] Itsuka Tenma no Kuro Usagi,Go-Sick,"5,246",2,SunZhuge,"August 24, 2019, 12:48:30 am"
[WN][Eng] Grimoire x Reverse ~Reincarnated Demon Romance Tale~,xjacques,"3,645",5,xjacques,"August 06, 2019, 04:58:56 am"
[LN][ENG][PDF]Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru,khawaja07,"1,713",3,shirlulu007,"August 04, 2019, 06:55:55 pm"
[LN] Last Round Arthurs Scum Arthur & Heretic Merlin,Jayanth555,"1,778",1,traitorAIZEN,"August 02, 2019, 05:11:09 pm"
[LN] JK Haru is a Sex Worker in Another World - Summer ,Jayanth555,"1,360",1,Loyd(TheHighWayman),"August 18, 2019, 10:28:23 pm"
[WN][PDF][Eng] I Became a Living Cheat,traitorAIZEN,"8,795",7,Daniel Tolentino,"August 15, 2019, 03:30:49 am"
[Light Novel][English]  Paying to Win in a VRMMO,Go-Sick,"18,322",27,seira00100,"August 02, 2019, 02:57:17 am"
[WN][Eng] Kaette Kita Motoyuusha (Return of the Former Hero),Azura Ren,"8,077",7,seira00100,"August 02, 2019, 02:49:11 am"
"[Light Novel][English] Yuusha Party no Kawaii Ko ga Ita no de, Kokuhaku Shite",Go-Sick,"13,628",11,seira00100,"August 02, 2019, 02:47:02 am"
[WN][PDF][Eng] Different World Tavern Nobu,traitorAIZEN,"6,262",7,traitorAIZEN,"August 13, 2019, 05:05:00 pm"
[WN][PDF] Boukensha ni Naritai to Miyako ni Deteitta Musume ga S Rank ni Natteta,traitorAIZEN,"5,249",10,BookedOnAFeeling,"August 12, 2019, 08:45:53 pm"
[WN][PDF] Erocom: I’m Sorry for Getting a Head Start but I Decided to Live Every,traitorAIZEN,"3,081",1,Ryuucchii,"August 12, 2019, 06:47:07 pm"
[LN][ENG] Defeating the Demon Lord's a Cinch (If You've Got a Ringer),shadow69,"13,255",22,traitorAIZEN,"August 01, 2019, 12:58:22 pm"
[LN][PDF][EPUB][Eng] Tsunpri: Aishite Ohimesama,Chetan417,"3,032",15,Chetan417,"July 31, 2019, 12:43:42 pm"
"[KR][PDF][Eng] Stop, Friendly Fire!",traitorAIZEN,"9,991",26,traitorAIZEN,"August 10, 2019, 04:48:24 pm"
[Light Novel][English] Angel Beats! Track Zero,Alumine,"17,264",6,DontMindMe,"August 10, 2019, 02:44:32 pm"
[WN][Eng] Isekai C-mart Hanjouki,Azura Ren,"1,009",0,Azura Ren,"August 10, 2019, 03:33:03 am"
[WN][Eng] The Bloodshot One-Eyed Zombie Emperor ,Rekka,"1,841",1,Chetan417,"July 31, 2019, 02:27:31 am"
[WN][PDF][EPUB][Eng] Eroge Tensei ~ Onee-chan no CG wa Kaishuu Shinaide Kudasai ,Chetan417,"2,082",5,akiramkl,"July 30, 2019, 03:38:20 pm"
[LN][PDF][Eng] Re:Monster,traitorAIZEN,"82,865",51,febri87,"July 30, 2019, 01:34:35 pm"
[LN][ENG] Little Witch Academia,shadow69,631,1,Go-Sick,"August 09, 2019, 08:50:29 pm"
[LN][Eng]I Got Reincarnated And Mistaken As A Genius?,deadline14,"25,940",53,Reiva12,"August 08, 2019, 07:06:51 pm"
[WN][PDF][EPUB][Eng] Monster no Goshujin-sama,Chetan417,"1,015",0,Chetan417,"July 30, 2019, 07:31:06 am"
[LN]Seriously Seeking Sister! Ultimate Vampire Princess Just Wants Little Sister,Jayanth555,"1,314",0,Jayanth555,"July 29, 2019, 07:31:17 am"
[Web Novel] [English] Yobidasa Reta Satsuriku-sha,EvilMegaDroid,"10,320",12,denis01,"July 24, 2019, 11:32:20 am"
[WN][PDF][Eng] Yuusha no Furi mo Raku Janai–Riyuu? Ore ga Kami dakara,traitorAIZEN,"7,660",7,seira00100,"July 23, 2019, 02:50:45 am"
[LN][PDF][Eng] Cross Connect,traitorAIZEN,"3,581",6,Jayanth555,"July 17, 2019, 10:17:48 pm"
[WN][PDF][Eng] Tensei Saki ga Shoujo Manga no Shiro Buta Reijou datta,traitorAIZEN,"5,251",4,traitorAIZEN,"July 14, 2019, 07:27:45 pm"
[Light Novel] [English] Tenkyou no Alderamin (Alderamin On The Sky),Go-Sick,"25,400",27,Jayanth555,"July 14, 2019, 02:27:21 am"
[Light Novel] [English] Sword Art Online:Progressive,Go-Sick,"38,452",31,traitorAIZEN,"July 13, 2019, 01:37:18 pm"
[WN][PDF][Eng] I Shall Survive Using Potions!,traitorAIZEN,"7,981",12,traitorAIZEN,"July 12, 2019, 06:00:58 pm"
[Chinese Novel] [English] Mai Kitsune Waifu,EvilMegaDroid,"3,628",1,ShinNoKabe,"July 11, 2019, 02:34:32 pm"
[KR][PDF][Eng] I Reincarnated For Nothing,traitorAIZEN,"9,334",8,traitorAIZEN,"June 21, 2019, 08:19:03 pm"
[WN][Eng] Tilea no Nayamigoto ,Go-Sick,"6,402",5,seira00100,"June 21, 2019, 02:35:30 am"
"[WN][PDF][Eng] She Was Both Called God, as Well as Satan",traitorAIZEN,"1,516",0,traitorAIZEN,"July 10, 2019, 07:08:08 pm"
[WN][PDF][Eng] It's Because You Said There Would Be Candy!! (+sequel),traitorAIZEN,"1,301",0,traitorAIZEN,"July 08, 2019, 01:34:38 pm"
[Light Novel] [English] Hundred,Go-Sick,"18,853",30,seira00100,"June 21, 2019, 02:20:15 am"
[Light Novel] [English] Chuunibyou demo Koi ga Shitai,Go-Sick,"9,996",13,Go-Sick,"June 20, 2019, 07:11:50 pm"
[Light Novel] [English] Campione!,Go-Sick,"31,772",29,ixion34,"June 19, 2019, 05:52:35 pm"
[LN][Eng] Kaguya Wants to be Confessed to ~The Seven Mysteries of Shuchin Ac,Jayanth555,"1,460",1,7o_07,"July 07, 2019, 01:29:23 pm"
[Light Novel] [English] Arslan Senki ,Go-Sick,"4,163",1,Jayanth555,"July 04, 2019, 09:17:56 am"
[Wn][PDF]This Hero is invincible but too cautious,bryzc1031,"3,989",1,Kawakigold,"June 18, 2019, 03:25:38 pm"
[LN] [Eng] Apparently it's My Fault That My Husband Has The Head of a Beast,Dark Warrior,"1,579",1,Jayanth555,"June 18, 2019, 04:16:06 am"
[CN][PDF][Eng] Because I’m a Weapon Shop Uncle,traitorAIZEN,"3,244",1,AZ09XO,"June 18, 2019, 03:46:15 am"
[LN][PDF][ENG] F,Rugoru,"1,746",1,Jayanth555,"July 04, 2019, 09:13:12 am"
[Light Novel] [English] The Unexplored Summon://Blood-Sign,Go-Sick,"18,462",26,Jayanth555,"July 04, 2019, 09:06:34 am"
"[LN][PDF][Eng] I Hold Your Voice Alone, Under The Starry Sky",traitorAIZEN,"1,540",1,Based Finn,"July 03, 2019, 08:17:10 pm"
[WN][PDF][Eng] High spec village,traitorAIZEN,"4,286",4,thenonamezz,"June 17, 2019, 01:26:02 am"
[WN][Eng] Konjiki no Word Master,Go-Sick,"15,905",12,KainLegacy535,"June 17, 2019, 12:32:56 am"
[WN][PDF][Eng] Small Chests Are Fine Too,traitorAIZEN,"2,489",2,s3577753,"June 16, 2019, 10:19:24 pm"
[WN][PDF][Eng] Tondemo Skill de Isekai Hourou Meshi,traitorAIZEN,"8,641",11,traitorAIZEN,"July 03, 2019, 12:19:15 am"
[JP][LN][Eng] Side-By-Side Dreamers,Dark Warrior,865,0,Dark Warrior,"July 02, 2019, 05:42:40 pm"
"[JP] [LN] [Eng] Saving 80,000 Gold in Another World for my Retirement",Dark Warrior,"2,858",5,alysho10,"July 02, 2019, 03:41:02 pm"
[LN][Eng] The Cursed Princess and the Lucky Knight,Jayanth555,"1,780",1,traitorAIZEN,"June 16, 2019, 08:49:56 pm"
[LN][ENG] Mirai no Mirai,shadow69,"1,070",1,Jayanth555,"June 15, 2019, 04:08:07 pm"
[Light Novel] [English] Mayo Chiki!,Go-Sick,"6,164",3,alysho10,"June 14, 2019, 09:15:31 pm"
[Light Novel][English][PDF] Tokyo Ravens,Davidobot,"71,807",37,DarkShadowBlaze,"July 02, 2019, 05:09:17 am"
[WN][Eng] Lazy Dungeon Master,lnwnepubs,"14,145",27,Chetan417,"July 02, 2019, 03:18:58 am"
[WN][PDF][Eng] Hakai no Miko,traitorAIZEN,"1,772",0,traitorAIZEN,"June 27, 2019, 10:50:10 am"
[Web Novel] [English] My Death Flags Show No Sign of Ending ,Go-Sick,"20,102",23,Aditi1517,"June 08, 2019, 01:09:23 pm"
"[Wn][English] Lonely Loser, I’ll Become Blonde Frivolous Gyaru’s Favourite",shirlulu007,"3,592",5,alfnheim,"June 14, 2019, 12:04:33 pm"
[WN][PDF] It Seems Like I Got Reincarnated Into The World of a Yandere Otome Gam,traitorAIZEN,"5,345",6,BlurEyes,"June 14, 2019, 01:31:12 am"
[LN][Eng] Battle Divas - The Incorruptible Battle Blossom Princess,deadline14,"14,824",35,Darkhhawk,"June 12, 2019, 03:27:17 pm"
